City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east ballina,-28.8667,153.5833,21.0,57,0,1.71,AU,1717645848
1,vieux-habitants,16.0589,-61.7659,26.76,76,100,6.09,GP,1717645848
2,ubari,26.5921,12.7805,27.9,39,12,6.43,LY,1717645848
3,wailua homesteads,22.0669,-159.378,29.24,81,40,4.63,US,1717645848
4,sitka,57.0531,-135.33,9.94,76,100,3.6,US,1717645848
5,tiksi,71.6872,128.8694,9.05,65,42,2.26,RU,1717645848
6,villa nueva,14.5269,-90.5875,21.73,92,100,3.09,GT,1717645718
7,waitangi,-43.9535,-176.5597,11.01,88,100,6.26,NZ,1717645848
8,ouani,-12.1322,44.4258,25.91,74,83,2.96,KM,1717645848
9,nova vicosa,-17.8919,-39.3719,22.5,89,6,3.21,BR,1717645849
10,basawul,34.2475,70.8722,27.53,43,82,0.75,AF,1717645849
11,hadibu,12.65,54.0333,29.22,72,92,5.6,YE,1717645728
12,port-aux-francais,-49.35,70.2167,2.3,73,26,18.71,TF,1717645849
13,dumas,35.8656,-101.9732,26.08,44,0,7.72,US,1717645849
14,labrador city,52.9463,-66.9114,16.95,59,0,1.54,CA,1717645849
15,west island,-12.1568,96.8225,29.99,79,75,6.69,CC,1717645849
16,hegang,47.4,130.3667,19.83,65,99,3.28,CN,1717645849
17,cholpon-ata,42.6494,77.0823,17.03,47,35,2.25,KG,1717645849
18,blackmans bay,-43.0167,147.3167,13.62,77,1,0.45,AU,1717645849
19,punta del este,-34.9667,-54.95,13.31,97,75,2.06,UY,1717645728
20,mariental,-24.6333,17.9667,4.85,74,0,3.76,NA,1717645849
21,warman,52.3168,-106.5679,11.95,76,75,8.75,CA,1717645850
22,yellowknife,62.456,-114.3525,14.12,65,75,1.03,CA,1717645850
23,isafjordur,66.0755,-23.124,1.41,91,97,5.04,IS,1717645850
24,papatowai,-46.5619,169.4708,10.11,87,100,0.85,NZ,1717645850
